DETAIL:  "supautils" is now a reserved prefix.
function,title,role_name,role_slug,department_name
Medical Affairs,Publication Strategy - RWE,Publication Strategy Lead,publication-strategy-lead,Medical Communications
Medical Affairs,Regional Medical Director - APAC,Regional Medical Director,regional-medical-director,Field Medical
Medical Affairs,Regional Medical Director - Emerging Markets,Regional Medical Director,regional-medical-director,Field Medical
Medical Affairs,Regional Medical Director - EU,Regional Medical Director,regional-medical-director,Field Medical
Medical Affairs,Regional Medical Director - US,Regional Medical Director,regional-medical-director,Field Medical
Medical Affairs,RWE Lead - Data Analysis,RWE Specialist,rwe-specialist,Evidence Generation & HEOR
Medical Affairs,RWE Lead - Data Analysis (Expert),RWE Specialist,rwe-specialist,Evidence Generation & HEOR
Medical Affairs,RWE Lead - Data Analysis (Junior),RWE Specialist,rwe-specialist,Evidence Generation & HEOR
Medical Affairs,RWE Lead - Data Analysis (Mid),RWE Specialist,rwe-specialist,Evidence Generation & HEOR
Medical Affairs,RWE Lead - Evidence Synthesis,RWE Specialist,rwe-specialist,Evidence Generation & HEOR
Medical Affairs,RWE Lead - Regulatory RWE,RWE Specialist,rwe-specialist,Evidence Generation & HEOR
Medical Affairs,RWE Lead - Study Design,RWE Specialist,rwe-specialist,Evidence Generation & HEOR
Medical Affairs,RWE Lead - Study Design (Expert),RWE Specialist,rwe-specialist,Evidence Generation & HEOR
Medical Affairs,RWE Lead - Study Design (Junior),RWE Specialist,rwe-specialist,Evidence Generation & HEOR
Medical Affairs,RWE Lead - Study Design (Mid),RWE Specialist,rwe-specialist,Evidence Generation & HEOR
Medical Affairs,Safety Physician - Acute Events,Safety Physician,safety-physician,Clinical Operations Support
Medical Affairs,Safety Physician - Periodic Reports,Safety Physician,safety-physician,Clinical Operations Support
Medical Affairs,Safety Physician - Risk Management,Safety Physician,safety-physician,Clinical Operations Support
Medical Affairs,Safety Physician - Signal Detection,Safety Physician,safety-physician,Clinical Operations Support
Medical Affairs,Scientific Publications Manager - Digital,Scientific Publications Manager,scientific-publications-manager,Medical Publications
Medical Affairs,Scientific Publications Manager - Global,Scientific Publications Manager,scientific-publications-manager,Medical Publications
Medical Affairs,Scientific Publications Manager - Operations,Scientific Publications Manager,scientific-publications-manager,Medical Publications
Medical Affairs,Scientific Publications Manager - Strategy,Scientific Publications Manager,scientific-publications-manager,Medical Publications
Medical Affairs,Senior Health Economist - BIM (Expert),Health Outcomes Manager,health-outcomes-manager,Evidence Generation & HEOR
Medical Affairs,Senior Health Economist - BIM (Junior),Health Outcomes Manager,health-outcomes-manager,Evidence Generation & HEOR
Medical Affairs,Senior Health Economist - BIM (Mid),Health Outcomes Manager,health-outcomes-manager,Evidence Generation & HEOR
Medical Affairs,Senior Health Economist - CEA (Expert),Health Outcomes Manager,health-outcomes-manager,Evidence Generation & HEOR
Medical Affairs,Senior Health Economist - CEA (Junior),Health Outcomes Manager,health-outcomes-manager,Evidence Generation & HEOR
Medical Affairs,Senior Health Economist - CEA (Mid-Level),Health Outcomes Manager,health-outcomes-manager,Evidence Generation & HEOR
Medical Affairs,Senior Health Economist - RWE (Expert),Health Outcomes Manager,health-outcomes-manager,Evidence Generation & HEOR
Medical Affairs,Senior Health Economist - RWE (Mid),Health Outcomes Manager,health-outcomes-manager,Evidence Generation & HEOR
Medical Affairs,Senior Medical Info Specialist - Complex,Medical Info Specialist,medical-info-specialist,Medical Information
Medical Affairs,Senior Medical Info Specialist - Regulatory,Medical Info Specialist,medical-info-specialist,Medical Information
Medical Affairs,Senior Medical Info Specialist - TA Expert,Medical Info Specialist,medical-info-specialist,Medical Information
Medical Affairs,Senior Medical Info Specialist - Training,Medical Info Specialist,medical-info-specialist,Medical Information
Medical Affairs,Senior Medical Science Liaison,Senior Medical Science Liaison,senior-medical-science-liaison,Medical Science Liaisons
Medical Affairs,Senior MSL - Experienced,Medical Science Liaison,medical-science-liaison,Medical Science Liaisons
Medical Affairs,Senior MSL - KOL Expert,Medical Science Liaison,medical-science-liaison,Medical Science Liaisons
Medical Affairs,Senior MSL - Publication Leader,Medical Science Liaison,medical-science-liaison,Medical Science Liaisons
Medical Affairs,Study Site Medical Lead - Management,Study Site Medical Lead,study-site-medical-lead,Clinical Operations Support
Medical Affairs,Study Site Medical Lead - Selection,Study Site Medical Lead,study-site-medical-lead,Clinical Operations Support
Medical Affairs,Study Site Medical Lead - Training,Study Site Medical Lead,study-site-medical-lead,Clinical Operations Support
Medical Affairs,TA MSL Lead - CNS,TA MSL Lead,ta-msl-lead,Field Medical
Medical Affairs,TA MSL Lead - CV/Metabolic,TA MSL Lead,ta-msl-lead,Field Medical
Medical Affairs,TA MSL Lead - Oncology,TA MSL Lead,ta-msl-lead,Field Medical
Medical Affairs,TA MSL Lead - Rare Disease,TA MSL Lead,ta-msl-lead,Field Medical
Medical Affairs,VP Medical Affairs - Launch Leader,VP Medical Affairs,vp-medical-affairs,Leadership
Medical Affairs,VP Medical Affairs - Portfolio Manager,VP Medical Affairs,vp-medical-affairs,Leadership
Medical Affairs,VP Medical Affairs - Strategic Visionary,VP Medical Affairs,vp-medical-affairs,Leadership
Medical Affairs,VP Medical Affairs - Tactical Executor,VP Medical Affairs,vp-medical-affairs,Leadership
