Name,Description,Mapped_to_Departments,Mapped_to_Functions,Mapped_to_Responsibilities,Responsibilities,Unique_ID,🏫 Departments,🏫 Functions
Head of Biostatistics,Leads biostatistics function,DEPT-007,FUNC-002,"RESP-146, RESP-147, RESP-148, RESP-149, RESP-150","Lead Biostatistics (https://www.notion.so/Lead-Biostatistics-2753dedf9856819cbbb1d52e0653c7be?pvs=21), Review Statistical Plans (https://www.notion.so/Review-Statistical-Plans-2753dedf9856818cadc8ef1f6c29c767?pvs=21), Oversee Statistical Analysis (https://www.notion.so/Oversee-Statistical-Analysis-2753dedf985681b2b73ce46c29b62fee?pvs=21), Interface with Regulators (https://www.notion.so/Interface-with-Regulators-2753dedf985681c3b25bdbda2b09eeb2?pvs=21), Present Statistical Results (https://www.notion.so/Present-Statistical-Results-2753dedf985681039cb6d38b12ffb4df?pvs=21)",ROLE-030,Biostatistics (https://www.notion.so/Biostatistics-2753dedf985681e4b45fcba7177ac2af?pvs=21),Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681abb32ce2905afa34f7?pvs=21)
Principal Biostatistician,Performs complex statistical analyses,DEPT-007,FUNC-002,"RESP-151, RESP-152, RESP-153, RESP-154, RESP-155","Develop SAPs (https://www.notion.so/Develop-SAPs-2753dedf9856818e88dbf17a1a8b674d?pvs=21), Perform Primary Analysis (https://www.notion.so/Perform-Primary-Analysis-2753dedf985681799409e699ad1e45ba?pvs=21), Conduct Safety Analysis (https://www.notion.so/Conduct-Safety-Analysis-2753dedf9856814e8461e14513925142?pvs=21), Calculate Sample Size (https://www.notion.so/Calculate-Sample-Size-2753dedf985681c19af9ccb46119ea5a?pvs=21), Support DMCs (https://www.notion.so/Support-DMCs-2753dedf985681d885eec101876d4fcb?pvs=21)",ROLE-031,Biostatistics (https://www.notion.so/Biostatistics-2753dedf985681e4b45fcba7177ac2af?pvs=21),Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681abb32ce2905afa34f7?pvs=21)
SAS Programmer,Specializes in SAS programming for clinical data,DEPT-007,FUNC-002,"RESP-161, RESP-162, RESP-163, RESP-164, RESP-165","Program in SAS (https://www.notion.so/Program-in-SAS-2753dedf98568165926acfd97daff115?pvs=21), Create SAS Macros (https://www.notion.so/Create-SAS-Macros-2753dedf985681509ee0cb0bff66afcb?pvs=21), Optimize SAS Code (https://www.notion.so/Optimize-SAS-Code-2753dedf9856815a838fd2519b2f56d4?pvs=21), Validate SAS Programs (https://www.notion.so/Validate-SAS-Programs-2753dedf985681b48732f789458a096c?pvs=21), Support SAS Users (https://www.notion.so/Support-SAS-Users-2753dedf985681588ef2c22dc6a772dd?pvs=21)",ROLE-033,Biostatistics (https://www.notion.so/Biostatistics-2753dedf985681e4b45fcba7177ac2af?pvs=21),Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681abb32ce2905afa34f7?pvs=21)
Statistical Programmer,Programs statistical analyses and reports,DEPT-007,FUNC-002,"RESP-156, RESP-157, RESP-158, RESP-159, RESP-160","Program Statistical Analyses (https://www.notion.so/Program-Statistical-Analyses-2753dedf9856816db985c3acf7c810d5?pvs=21), Create Analysis Datasets (https://www.notion.so/Create-Analysis-Datasets-2753dedf985681e7b7dbe1af482ba1c1?pvs=21), Generate TFLs (https://www.notion.so/Generate-TFLs-2753dedf985681889551ccbb2e120715?pvs=21), Validate Programs (https://www.notion.so/Validate-Programs-2753dedf985681e28292d14c6e04929d?pvs=21), Document Programming (https://www.notion.so/Document-Programming-2753dedf985681ebbf9ae18591eac411?pvs=21)",ROLE-032,Biostatistics (https://www.notion.so/Biostatistics-2753dedf985681e4b45fcba7177ac2af?pvs=21),Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681abb32ce2905afa34f7?pvs=21)
VP Regulatory Affairs,Leads global regulatory strategy,DEPT-008,FUNC-003,"RESP-166, RESP-167, RESP-168, RESP-169, RESP-170","Lead Regulatory Strategy (https://www.notion.so/Lead-Regulatory-Strategy-2753dedf985681408880cc2fd1a25c39?pvs=21), Interface with Agencies (https://www.notion.so/Interface-with-Agencies-2753dedf985681bdba73e189430f83d9?pvs=21), Oversee Submissions (https://www.notion.so/Oversee-Submissions-2753dedf9856818c8d1fefd53b67f4db?pvs=21), Manage Regulatory Risk (https://www.notion.so/Manage-Regulatory-Risk-2753dedf985681cd9ea6e098664fb987?pvs=21), Build Agency Relations (https://www.notion.so/Build-Agency-Relations-2753dedf98568101af40fe75b785784a?pvs=21)",ROLE-034,Global Regulatory (https://www.notion.so/Global-Regulatory-2753dedf98568181b82af877e153fb9a?pvs=21),Regulatory Affairs (https://www.notion.so/Regulatory-Affairs-2753dedf9856812abb3ef2fd0af54a35?pvs=21)
Regulatory Strategy Director,Develops regulatory strategies for products,DEPT-008,FUNC-003,"RESP-171, RESP-172, RESP-173, RESP-174, RESP-175","Develop Regulatory Plans (https://www.notion.so/Develop-Regulatory-Plans-2753dedf985681879545fcab7dfef104?pvs=21), Assess Regulatory Requirements (https://www.notion.so/Assess-Regulatory-Requirements-2753dedf98568163a84fecdde367ac20?pvs=21), Plan Regulatory Meetings (https://www.notion.so/Plan-Regulatory-Meetings-2753dedf9856815495c9e20318d27f48?pvs=21), Review Regulatory Intelligence (https://www.notion.so/Review-Regulatory-Intelligence-2753dedf985681e4b4e8f6d75d5e630e?pvs=21), Guide Submission Strategy (https://www.notion.so/Guide-Submission-Strategy-2753dedf985681b4ab09f1801758296c?pvs=21)",ROLE-035,Global Regulatory (https://www.notion.so/Global-Regulatory-2753dedf98568181b82af877e153fb9a?pvs=21),Regulatory Affairs (https://www.notion.so/Regulatory-Affairs-2753dedf9856812abb3ef2fd0af54a35?pvs=21)
Regulatory Writer,Authors regulatory documents and submissions,DEPT-008,FUNC-003,"RESP-181, RESP-182, RESP-183, RESP-184, RESP-185","Study Drug Mechanisms (https://www.notion.so/Study-Drug-Mechanisms-2753dedf9856810495d5d632756f4b08?pvs=21), Conduct PK/PD Studies (https://www.notion.so/Conduct-PK-PD-Studies-2753dedf985681d59a4bd893f1b62dea?pvs=21), Evaluate Drug Interactions (https://www.notion.so/Evaluate-Drug-Interactions-2753dedf985681ae84fbc3b38dc80dfe?pvs=21), Model Dose-Response (https://www.notion.so/Model-Dose-Response-2753dedf985681ad8f48d9983b6f196e?pvs=21), Predict Human Doses (https://www.notion.so/Predict-Human-Doses-2753dedf98568157a513c542c4bb1207?pvs=21), Write Regulatory Documents (https://www.notion.so/Write-Regulatory-Documents-2753dedf98568125b863c358288a67ea?pvs=21), Develop Clinical Summaries (https://www.notion.so/Develop-Clinical-Summaries-2753dedf9856812a87bfcdc236705fb0?pvs=21), Create Module 2 Documents (https://www.notion.so/Create-Module-2-Documents-2753dedf9856810dba33fc8c9f12103b?pvs=21), Write Responses to Agencies (https://www.notion.so/Write-Responses-to-Agencies-2753dedf985681f1809fd52ce8dbb3f2?pvs=21), Ensure Document Quality (https://www.notion.so/Ensure-Document-Quality-2753dedf985681d4a356c8077d563666?pvs=21)",ROLE-037,Global Regulatory (https://www.notion.so/Global-Regulatory-2753dedf98568181b82af877e153fb9a?pvs=21),Regulatory Affairs (https://www.notion.so/Regulatory-Affairs-2753dedf9856812abb3ef2fd0af54a35?pvs=21)
Regulatory Affairs Manager,Manages regulatory submissions and compliance,DEPT-008,FUNC-003,"RESP-176, RESP-177, RESP-178, RESP-179, RESP-180","Manage Submissions (https://www.notion.so/Manage-Submissions-2753dedf98568141bf1fddadbe6250d1?pvs=21), Compile Submission Documents (https://www.notion.so/Compile-Submission-Documents-2753dedf985681b18a24fd6f7f6ad06b?pvs=21), Track Regulatory Commitments (https://www.notion.so/Track-Regulatory-Commitments-2753dedf98568180860eef0c3af856f0?pvs=21), Coordinate Responses (https://www.notion.so/Coordinate-Responses-2753dedf985681a194a8f1ea6bae898c?pvs=21), Maintain Regulatory Files (https://www.notion.so/Maintain-Regulatory-Files-2753dedf985681aeae42cf9ea0c2c6d4?pvs=21)",ROLE-036,Global Regulatory (https://www.notion.so/Global-Regulatory-2753dedf98568181b82af877e153fb9a?pvs=21),Regulatory Affairs (https://www.notion.so/Regulatory-Affairs-2753dedf9856812abb3ef2fd0af54a35?pvs=21)
CMC Regulatory Head,Leads CMC regulatory strategy,DEPT-009,FUNC-003,"RESP-186, RESP-187, RESP-188, RESP-189, RESP-190","Lead CMC Regulatory (https://www.notion.so/Lead-CMC-Regulatory-2753dedf9856811aa390cb6cfc8838f1?pvs=21), Review CMC Data (https://www.notion.so/Review-CMC-Data-2753dedf9856811aa6b1da30dcad8c56?pvs=21), Interface with Manufacturing (https://www.notion.so/Interface-with-Manufacturing-2753dedf9856812896b5d6bd1e2c80ae?pvs=21), Assess CMC Changes (https://www.notion.so/Assess-CMC-Changes-2753dedf98568187bffbc5f57102543d?pvs=21), Guide CMC Submissions (https://www.notion.so/Guide-CMC-Submissions-2753dedf98568142a85efd5ec5c15eda?pvs=21)",ROLE-038,Regulatory CMC (https://www.notion.so/Regulatory-CMC-2753dedf9856819294b2e897be220b63?pvs=21),Regulatory Affairs (https://www.notion.so/Regulatory-Affairs-2753dedf9856812abb3ef2fd0af54a35?pvs=21)
Technical Writer,Creates technical regulatory documentation,DEPT-009,FUNC-003,"RESP-196, RESP-197, RESP-198, RESP-199, RESP-200","Write Technical Documents (https://www.notion.so/Write-Technical-Documents-2753dedf985681c28296c582165faa32?pvs=21), Develop Process Descriptions (https://www.notion.so/Develop-Process-Descriptions-2753dedf9856811c89f4fd1b666e697b?pvs=21), Create Specifications (https://www.notion.so/Create-Specifications-2753dedf9856812e9afcdc0a46a4999e?pvs=21), Write Validation Reports (https://www.notion.so/Write-Validation-Reports-2753dedf98568167b0c7db4a04d0bdf0?pvs=21), Document Analytical Methods (https://www.notion.so/Document-Analytical-Methods-2753dedf9856811aa98df67c94b6efc0?pvs=21)",ROLE-040,Regulatory CMC (https://www.notion.so/Regulatory-CMC-2753dedf9856819294b2e897be220b63?pvs=21),Regulatory Affairs (https://www.notion.so/Regulatory-Affairs-2753dedf9856812abb3ef2fd0af54a35?pvs=21)
CMC Regulatory Manager,Manages CMC regulatory submissions,DEPT-009,FUNC-003,"RESP-191, RESP-192, RESP-193, RESP-194, RESP-195","Manage CMC Submissions (https://www.notion.so/Manage-CMC-Submissions-2753dedf9856812f8793d581b26d6181?pvs=21), Compile CMC Dossiers (https://www.notion.so/Compile-CMC-Dossiers-2753dedf98568174990ac9d05051af75?pvs=21), Review Manufacturing Changes (https://www.notion.so/Review-Manufacturing-Changes-2753dedf985681bda4c7fa30a7f85ecb?pvs=21), Coordinate Stability Data (https://www.notion.so/Coordinate-Stability-Data-2753dedf9856812c93abe3b23b9db2ad?pvs=21), Track CMC Commitments (https://www.notion.so/Track-CMC-Commitments-2753dedf985681c5aec4ce1db3cd744f?pvs=21)",ROLE-039,Regulatory CMC (https://www.notion.so/Regulatory-CMC-2753dedf9856819294b2e897be220b63?pvs=21),Regulatory Affairs (https://www.notion.so/Regulatory-Affairs-2753dedf9856812abb3ef2fd0af54a35?pvs=21)
Regulatory Intelligence Lead,Monitors regulatory landscape and trends,DEPT-010,FUNC-003,"RESP-201, RESP-202, RESP-203, RESP-204, RESP-205",,ROLE-041,Regulatory Intelligence (https://www.notion.so/Regulatory-Intelligence-2753dedf98568161babefe493e6fdc3f?pvs=21),Regulatory Affairs (https://www.notion.so/Regulatory-Affairs-2753dedf9856812abb3ef2fd0af54a35?pvs=21)
Intelligence Analyst,Analyzes regulatory and competitive intelligence,DEPT-010,FUNC-003,"RESP-206, RESP-207, RESP-208, RESP-209, RESP-210",,ROLE-042,Regulatory Intelligence (https://www.notion.so/Regulatory-Intelligence-2753dedf98568161babefe493e6fdc3f?pvs=21),Regulatory Affairs (https://www.notion.so/Regulatory-Affairs-2753dedf9856812abb3ef2fd0af54a35?pvs=21)
Policy Analyst,Analyzes healthcare policy impacts,DEPT-010,FUNC-003,"RESP-211, RESP-212, RESP-213, RESP-214, RESP-215",,ROLE-043,Regulatory Intelligence (https://www.notion.so/Regulatory-Intelligence-2753dedf98568161babefe493e6fdc3f?pvs=21),Regulatory Affairs (https://www.notion.so/Regulatory-Affairs-2753dedf9856812abb3ef2fd0af54a35?pvs=21)
Head of API Manufacturing,Leads drug substance manufacturing,DEPT-011,FUNC-004,"RESP-216, RESP-217, RESP-218, RESP-219, RESP-220",,ROLE-044,Drug Substance (https://www.notion.so/Drug-Substance-2753dedf9856813ea7f6ce349b4b674b?pvs=21),Manufacturing (https://www.notion.so/Manufacturing-2753dedf98568143b8aae54ed6653b0b?pvs=21)
Process Engineer,Optimizes manufacturing processes,DEPT-011,FUNC-004,"RESP-216, RESP-217, RESP-218, RESP-219, RESP-220",,ROLE-045,Drug Substance (https://www.notion.so/Drug-Substance-2753dedf9856813ea7f6ce349b4b674b?pvs=21),Manufacturing (https://www.notion.so/Manufacturing-2753dedf98568143b8aae54ed6653b0b?pvs=21)
Production Manager,Manages day-to-day production operations,DEPT-011,FUNC-004,"RESP-216, RESP-217, RESP-218, RESP-219, RESP-220",,ROLE-046,Drug Substance (https://www.notion.so/Drug-Substance-2753dedf9856813ea7f6ce349b4b674b?pvs=21),Manufacturing (https://www.notion.so/Manufacturing-2753dedf98568143b8aae54ed6653b0b?pvs=21)
Process Development Scientist,Develops and scales manufacturing processes,DEPT-011,FUNC-004,"RESP-216, RESP-217, RESP-218, RESP-219, RESP-220",,ROLE-047,Drug Substance (https://www.notion.so/Drug-Substance-2753dedf9856813ea7f6ce349b4b674b?pvs=21),Manufacturing (https://www.notion.so/Manufacturing-2753dedf98568143b8aae54ed6653b0b?pvs=21)
Head of Formulation,Leads drug product development,DEPT-012,FUNC-004,"RESP-236, RESP-237, RESP-238, RESP-239, RESP-240",,ROLE-048,Drug Product (https://www.notion.so/Drug-Product-2753dedf985681f0acabfba280308664?pvs=21),Manufacturing (https://www.notion.so/Manufacturing-2753dedf98568143b8aae54ed6653b0b?pvs=21)
Formulation Scientist,Develops drug product formulations,DEPT-012,FUNC-004,"RESP-241, RESP-242, RESP-243, RESP-244, RESP-245",,ROLE-049,Drug Product (https://www.notion.so/Drug-Product-2753dedf985681f0acabfba280308664?pvs=21),Manufacturing (https://www.notion.so/Manufacturing-2753dedf98568143b8aae54ed6653b0b?pvs=21)
Packaging Engineer,Designs pharmaceutical packaging,DEPT-012,FUNC-004,"RESP-246, RESP-247, RESP-248, RESP-249, RESP-250",,ROLE-050,Drug Product (https://www.notion.so/Drug-Product-2753dedf985681f0acabfba280308664?pvs=21),Manufacturing (https://www.notion.so/Manufacturing-2753dedf98568143b8aae54ed6653b0b?pvs=21)
Supply Chain Director,Leads supply chain operations,DEPT-013,FUNC-004,"RESP-256, RESP-257, RESP-258, RESP-259, RESP-260",,ROLE-052,Supply Chain (https://www.notion.so/Supply-Chain-2753dedf9856816a8e25c7b3f42ef6e0?pvs=21),Manufacturing (https://www.notion.so/Manufacturing-2753dedf98568143b8aae54ed6653b0b?pvs=21)
Analytical Scientist,Develops analytical methods,DEPT-012,FUNC-004,"RESP-251, RESP-252, RESP-253, RESP-254, RESP-255",,ROLE-051,Drug Product (https://www.notion.so/Drug-Product-2753dedf985681f0acabfba280308664?pvs=21),Manufacturing (https://www.notion.so/Manufacturing-2753dedf98568143b8aae54ed6653b0b?pvs=21)
Demand Planner,Forecasts product demand,DEPT-013,FUNC-004,"RESP-261, RESP-262, RESP-263, RESP-264, RESP-265",,ROLE-053,Supply Chain (https://www.notion.so/Supply-Chain-2753dedf9856816a8e25c7b3f42ef6e0?pvs=21),Manufacturing (https://www.notion.so/Manufacturing-2753dedf98568143b8aae54ed6653b0b?pvs=21)
Supply Planner,Plans production and inventory,DEPT-013,FUNC-004,"RESP-266, RESP-267, RESP-268, RESP-269, RESP-270",,ROLE-054,Supply Chain (https://www.notion.so/Supply-Chain-2753dedf9856816a8e25c7b3f42ef6e0?pvs=21),Manufacturing (https://www.notion.so/Manufacturing-2753dedf98568143b8aae54ed6653b0b?pvs=21)
Logistics Manager,Manages product distribution,DEPT-013,FUNC-004,"RESP-271, RESP-272, RESP-273, RESP-274, RESP-275",,ROLE-055,Supply Chain (https://www.notion.so/Supply-Chain-2753dedf9856816a8e25c7b3f42ef6e0?pvs=21),Manufacturing (https://www.notion.so/Manufacturing-2753dedf98568143b8aae54ed6653b0b?pvs=21)
QA Director,Directs quality assurance activities,DEPT-014,FUNC-005,"RESP-281, RESP-282, RESP-283, RESP-284, RESP-285",,ROLE-057,Quality Assurance (https://www.notion.so/Quality-Assurance-2753dedf985681d0a940c2bced3721f9?pvs=21),Quality (https://www.notion.so/Quality-2753dedf9856817c8d4eeaf91c705fc7?pvs=21)
VP Quality,Leads quality organization,DEPT-014,FUNC-005,"RESP-276, RESP-277, RESP-278, RESP-279, RESP-280",,ROLE-056,Quality Assurance (https://www.notion.so/Quality-Assurance-2753dedf985681d0a940c2bced3721f9?pvs=21),Quality (https://www.notion.so/Quality-2753dedf9856817c8d4eeaf91c705fc7?pvs=21)
QA Manager,Manages quality systems and processes,DEPT-014,FUNC-005,"RESP-286, RESP-287, RESP-288, RESP-289, RESP-290",,ROLE-058,Quality Assurance (https://www.notion.so/Quality-Assurance-2753dedf985681d0a940c2bced3721f9?pvs=21),Quality (https://www.notion.so/Quality-2753dedf9856817c8d4eeaf91c705fc7?pvs=21)
QC Director,Leads quality control operations,DEPT-015,FUNC-005,"RESP-296, RESP-297, RESP-298, RESP-299, RESP-300",,ROLE-060,Quality Control (https://www.notion.so/Quality-Control-2753dedf9856818b9181c1780f524e9d?pvs=21),Quality (https://www.notion.so/Quality-2753dedf9856817c8d4eeaf91c705fc7?pvs=21)
Validation Specialist,Performs equipment and process validation,DEPT-014,FUNC-005,"RESP-291, RESP-292, RESP-293, RESP-294, RESP-295",,ROLE-059,Quality Assurance (https://www.notion.so/Quality-Assurance-2753dedf985681d0a940c2bced3721f9?pvs=21),Quality (https://www.notion.so/Quality-2753dedf9856817c8d4eeaf91c705fc7?pvs=21)
QC Analyst,Performs quality control testing,DEPT-015,FUNC-005,"RESP-306, RESP-307, RESP-308, RESP-309, RESP-310",,ROLE-062,Quality Control (https://www.notion.so/Quality-Control-2753dedf9856818b9181c1780f524e9d?pvs=21),Quality (https://www.notion.so/Quality-2753dedf9856817c8d4eeaf91c705fc7?pvs=21)
QC Lab Manager,Manages QC laboratories,DEPT-015,FUNC-005,"RESP-301, RESP-302, RESP-303, RESP-304, RESP-305",,ROLE-061,Quality Control (https://www.notion.so/Quality-Control-2753dedf9856818b9181c1780f524e9d?pvs=21),Quality (https://www.notion.so/Quality-2753dedf9856817c8d4eeaf91c705fc7?pvs=21)
Compliance Director,Oversees GxP compliance programs,DEPT-016,FUNC-005,"RESP-316, RESP-317, RESP-318, RESP-319, RESP-320",,ROLE-064,Quality Compliance (https://www.notion.so/Quality-Compliance-2753dedf985681d4bbb1f6784cb60031?pvs=21),Quality (https://www.notion.so/Quality-2753dedf9856817c8d4eeaf91c705fc7?pvs=21)
Microbiologist,Performs microbiological testing,DEPT-015,FUNC-005,"RESP-311, RESP-312, RESP-313, RESP-314, RESP-315",,ROLE-063,Quality Control (https://www.notion.so/Quality-Control-2753dedf9856818b9181c1780f524e9d?pvs=21),Quality (https://www.notion.so/Quality-2753dedf9856817c8d4eeaf91c705fc7?pvs=21)
Compliance Manager,Manages compliance activities,DEPT-016,FUNC-005,"RESP-321, RESP-322, RESP-323, RESP-324, RESP-325",,ROLE-065,Quality Compliance (https://www.notion.so/Quality-Compliance-2753dedf985681d4bbb1f6784cb60031?pvs=21),Quality (https://www.notion.so/Quality-2753dedf9856817c8d4eeaf91c705fc7?pvs=21)
MSL Director,Leads medical science liaison team,DEPT-017,FUNC-006,"RESP-331, RESP-332, RESP-333, RESP-334, RESP-335",,ROLE-067,Medical Science Liaisons (https://www.notion.so/Medical-Science-Liaisons-2753dedf9856812bac02c8f28dbd5b52?pvs=21),Medical Affairs (https://www.notion.so/Medical-Affairs-2753dedf98568199b005d55c03e05a2e?pvs=21)
Data Integrity Specialist,Ensures data integrity compliance,DEPT-016,FUNC-005,"RESP-326, RESP-327, RESP-328, RESP-329, RESP-330",,ROLE-066,Quality Compliance (https://www.notion.so/Quality-Compliance-2753dedf985681d4bbb1f6784cb60031?pvs=21),Quality (https://www.notion.so/Quality-2753dedf9856817c8d4eeaf91c705fc7?pvs=21)
Regional MSL,Regional medical science liaison,DEPT-017,FUNC-006,"RESP-341, RESP-342, RESP-343, RESP-344, RESP-345",,ROLE-069,Medical Science Liaisons (https://www.notion.so/Medical-Science-Liaisons-2753dedf9856812bac02c8f28dbd5b52?pvs=21),Medical Affairs (https://www.notion.so/Medical-Affairs-2753dedf98568199b005d55c03e05a2e?pvs=21)
Senior MSL,Senior medical science liaison,DEPT-017,FUNC-006,"RESP-336, RESP-337, RESP-338, RESP-339, RESP-340",,ROLE-068,Medical Science Liaisons (https://www.notion.so/Medical-Science-Liaisons-2753dedf9856812bac02c8f28dbd5b52?pvs=21),Medical Affairs (https://www.notion.so/Medical-Affairs-2753dedf98568199b005d55c03e05a2e?pvs=21)
Medical Information Manager,Manages medical information services,DEPT-018,FUNC-006,"RESP-346, RESP-347, RESP-348, RESP-349, RESP-350",,ROLE-070,Medical Information (https://www.notion.so/Medical-Information-2753dedf9856810899b7f007fd0f4ae4?pvs=21),Medical Affairs (https://www.notion.so/Medical-Affairs-2753dedf98568199b005d55c03e05a2e?pvs=21)
Medical Information Specialist,Responds to medical inquiries,DEPT-018,FUNC-006,"RESP-351, RESP-352, RESP-353, RESP-354, RESP-355",,ROLE-071,Medical Information (https://www.notion.so/Medical-Information-2753dedf9856810899b7f007fd0f4ae4?pvs=21),Medical Affairs (https://www.notion.so/Medical-Affairs-2753dedf98568199b005d55c03e05a2e?pvs=21)
Medical Writer,Creates medical and scientific content,DEPT-018,FUNC-006,"RESP-356, RESP-357, RESP-358, RESP-359, RESP-360",,ROLE-072,Medical Information (https://www.notion.so/Medical-Information-2753dedf9856810899b7f007fd0f4ae4?pvs=21),Medical Affairs (https://www.notion.so/Medical-Affairs-2753dedf98568199b005d55c03e05a2e?pvs=21)
Publication Manager,Manages publication planning and execution,DEPT-019,FUNC-006,"RESP-366, RESP-367, RESP-368, RESP-369, RESP-370",,ROLE-074,Medical Communications (https://www.notion.so/Medical-Communications-2753dedf98568119a97fd56ca4749a28?pvs=21),Medical Affairs (https://www.notion.so/Medical-Affairs-2753dedf98568199b005d55c03e05a2e?pvs=21)
Medical Communications Director,Leads medical communications strategy,DEPT-019,FUNC-006,"RESP-361, RESP-362, RESP-363, RESP-364, RESP-365",,ROLE-073,Medical Communications (https://www.notion.so/Medical-Communications-2753dedf98568119a97fd56ca4749a28?pvs=21),Medical Affairs (https://www.notion.so/Medical-Affairs-2753dedf98568199b005d55c03e05a2e?pvs=21)
Congress Manager,Manages medical congress activities,DEPT-019,FUNC-006,"RESP-371, RESP-372, RESP-373, RESP-374, RESP-375",,ROLE-075,Medical Communications (https://www.notion.so/Medical-Communications-2753dedf98568119a97fd56ca4749a28?pvs=21),
Chief Safety Officer,Leads pharmacovigilance organization,DEPT-020,FUNC-007,"RESP-376, RESP-377, RESP-378, RESP-379, RESP-380",,ROLE-076,Drug Safety (https://www.notion.so/Drug-Safety-2753dedf98568108b55cd328c72b0e50?pvs=21),Pharmacovigilance (https://www.notion.so/Pharmacovigilance-2753dedf98568122a714e1c05ddaa14e?pvs=21)
Pharmacovigilance Director,Directs drug safety operations,DEPT-020,FUNC-007,"RESP-381, RESP-382, RESP-383, RESP-384, RESP-385",,ROLE-077,Drug Safety (https://www.notion.so/Drug-Safety-2753dedf98568108b55cd328c72b0e50?pvs=21),Pharmacovigilance (https://www.notion.so/Pharmacovigilance-2753dedf98568122a714e1c05ddaa14e?pvs=21)
Drug Safety Scientist,Analyzes safety data and signals,DEPT-020,FUNC-007,"RESP-386, RESP-387, RESP-388, RESP-389, RESP-390",,ROLE-078,Drug Safety (https://www.notion.so/Drug-Safety-2753dedf98568108b55cd328c72b0e50?pvs=21),Pharmacovigilance (https://www.notion.so/Pharmacovigilance-2753dedf98568122a714e1c05ddaa14e?pvs=21)
Risk Management Director,Leads risk management activities,DEPT-021,FUNC-007,"RESP-396, RESP-397, RESP-398, RESP-399, RESP-400",,ROLE-080,Risk Management (https://www.notion.so/Risk-Management-2753dedf9856812b81b3fe582b22637d?pvs=21),Pharmacovigilance (https://www.notion.so/Pharmacovigilance-2753dedf98568122a714e1c05ddaa14e?pvs=21)
Safety Physician,Provides medical assessment of safety data,DEPT-020,FUNC-007,"RESP-391, RESP-392, RESP-393, RESP-394, RESP-395",,ROLE-079,Drug Safety (https://www.notion.so/Drug-Safety-2753dedf98568108b55cd328c72b0e50?pvs=21),Pharmacovigilance (https://www.notion.so/Pharmacovigilance-2753dedf98568122a714e1c05ddaa14e?pvs=21)
Risk Management Scientist,Develops risk management strategies,DEPT-021,FUNC-007,"RESP-401, RESP-402, RESP-403, RESP-404, RESP-405",,ROLE-081,Risk Management (https://www.notion.so/Risk-Management-2753dedf9856812b81b3fe582b22637d?pvs=21),Pharmacovigilance (https://www.notion.so/Pharmacovigilance-2753dedf98568122a714e1c05ddaa14e?pvs=21)
REMS Specialist,Manages REMS programs,DEPT-021,FUNC-007,"RESP-406, RESP-407, RESP-408, RESP-409, RESP-410",,ROLE-082,Risk Management (https://www.notion.so/Risk-Management-2753dedf9856812b81b3fe582b22637d?pvs=21),Pharmacovigilance (https://www.notion.so/Pharmacovigilance-2753dedf98568122a714e1c05ddaa14e?pvs=21)
Head of Epidemiology,Leads epidemiology studies,DEPT-022,FUNC-007,"RESP-411, RESP-412, RESP-413, RESP-414, RESP-415",,ROLE-083,Epidemiology (https://www.notion.so/Epidemiology-2753dedf98568106813eefbe5b5efd2f?pvs=21),Pharmacovigilance (https://www.notion.so/Pharmacovigilance-2753dedf98568122a714e1c05ddaa14e?pvs=21)
Epidemiologist,Conducts epidemiological research,DEPT-022,FUNC-007,"RESP-416, RESP-417, RESP-418, RESP-419, RESP-420",,ROLE-084,Epidemiology (https://www.notion.so/Epidemiology-2753dedf98568106813eefbe5b5efd2f?pvs=21),Pharmacovigilance (https://www.notion.so/Pharmacovigilance-2753dedf98568122a714e1c05ddaa14e?pvs=21)
Real-World Evidence Scientist,Generates real-world evidence,DEPT-022,FUNC-007,"RESP-421, RESP-422, RESP-423, RESP-424, RESP-425",,ROLE-085,Epidemiology (https://www.notion.so/Epidemiology-2753dedf98568106813eefbe5b5efd2f?pvs=21),Pharmacovigilance (https://www.notion.so/Pharmacovigilance-2753dedf98568122a714e1c05ddaa14e?pvs=21)
VP Marketing,Leads marketing organization,DEPT-023,FUNC-008,"RESP-426, RESP-427, RESP-428, RESP-429, RESP-430",,ROLE-086,Marketing (https://www.notion.so/Marketing-2753dedf985681c988fbfa3690992c25?pvs=21),Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
Brand Director,Directs brand strategy and execution,DEPT-023,FUNC-008,"RESP-431, RESP-432, RESP-433, RESP-434, RESP-435",,ROLE-087,Marketing (https://www.notion.so/Marketing-2753dedf985681c988fbfa3690992c25?pvs=21),Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
Product Manager,Manages product marketing,DEPT-023,FUNC-008,"RESP-436, RESP-437, RESP-438, RESP-439, RESP-440",,ROLE-088,Marketing (https://www.notion.so/Marketing-2753dedf985681c988fbfa3690992c25?pvs=21),Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
