Name,Description,Mapped_to_VITAL_Path_Use_Cases,Roles,Unique_ID
Develop ADaM Datasets,Develop ADaM analysis datasets,UC-144: ADaM builder,Data Standards Specialist (https://www.notion.so/Data-Standards-Specialist-2753dedf9856814cb5a4d2af2f386865?pvs=21),RESP-144
Validate Submissions,Validate submission data packages,UC-145: Package validator,Data Standards Specialist (https://www.notion.so/Data-Standards-Specialist-2753dedf9856814cb5a4d2af2f386865?pvs=21),RESP-145
Review Statistical Plans,Review statistical analysis plans,UC-147: SAP reviewer,Head of Biostatistics (https://www.notion.so/Head-of-Biostatistics-2753dedf985681e4b788c8d795098d86?pvs=21),RESP-147
Lead Biostatistics,Lead biostatistics function,UC-146: Statistics platform,Head of Biostatistics (https://www.notion.so/Head-of-Biostatistics-2753dedf985681e4b788c8d795098d86?pvs=21),RESP-146
Oversee Statistical Analysis,Oversee statistical analyses,UC-148: Analysis oversight,Head of Biostatistics (https://www.notion.so/Head-of-Biostatistics-2753dedf985681e4b788c8d795098d86?pvs=21),RESP-148
Present Statistical Results,Present statistical findings,UC-150: Results presenter,Head of Biostatistics (https://www.notion.so/Head-of-Biostatistics-2753dedf985681e4b788c8d795098d86?pvs=21),RESP-150
Interface with Regulators,Interface with regulatory statisticians,UC-149: Regulatory stats,Head of Biostatistics (https://www.notion.so/Head-of-Biostatistics-2753dedf985681e4b788c8d795098d86?pvs=21),RESP-149
Perform Primary Analysis,Perform primary efficacy analyses,UC-152: Primary analysis,Principal Biostatistician (https://www.notion.so/Principal-Biostatistician-2753dedf9856812fbf61ee52795949d4?pvs=21),RESP-152
Develop SAPs,Develop statistical analysis plans,UC-151: SAP generator,Principal Biostatistician (https://www.notion.so/Principal-Biostatistician-2753dedf9856812fbf61ee52795949d4?pvs=21),RESP-151
Conduct Safety Analysis,Conduct safety analyses,UC-153: Safety statistics,Principal Biostatistician (https://www.notion.so/Principal-Biostatistician-2753dedf9856812fbf61ee52795949d4?pvs=21),RESP-153
Calculate Sample Size,Calculate study sample sizes,UC-154: Sample calculator,Principal Biostatistician (https://www.notion.so/Principal-Biostatistician-2753dedf9856812fbf61ee52795949d4?pvs=21),RESP-154
Program Statistical Analyses,Program statistical analyses,UC-156: Stats programming,Statistical Programmer (https://www.notion.so/Statistical-Programmer-2753dedf98568152b3bfecb45d18a7c3?pvs=21),RESP-156
Support DMCs,Support data monitoring committees,UC-155: DMC support,Principal Biostatistician (https://www.notion.so/Principal-Biostatistician-2753dedf9856812fbf61ee52795949d4?pvs=21),RESP-155
Create Analysis Datasets,Create analysis datasets,UC-157: Dataset creator,Statistical Programmer (https://www.notion.so/Statistical-Programmer-2753dedf98568152b3bfecb45d18a7c3?pvs=21),RESP-157
Generate TFLs,Generate tables figures listings,UC-158: TFL generator,Statistical Programmer (https://www.notion.so/Statistical-Programmer-2753dedf98568152b3bfecb45d18a7c3?pvs=21),RESP-158
Validate Programs,Validate statistical programs,UC-159: Program validator,Statistical Programmer (https://www.notion.so/Statistical-Programmer-2753dedf98568152b3bfecb45d18a7c3?pvs=21),RESP-159
Program in SAS,Program analyses in SAS,UC-161: SAS programming,SAS Programmer (https://www.notion.so/SAS-Programmer-2753dedf9856814abae6f2f241ebda4b?pvs=21),RESP-161
Document Programming,Document programming specifications,UC-160: Spec documenter,Statistical Programmer (https://www.notion.so/Statistical-Programmer-2753dedf98568152b3bfecb45d18a7c3?pvs=21),RESP-160
Create SAS Macros,Develop SAS macro libraries,UC-162: Macro library,SAS Programmer (https://www.notion.so/SAS-Programmer-2753dedf9856814abae6f2f241ebda4b?pvs=21),RESP-162
Optimize SAS Code,Optimize SAS code performance,UC-163: Code optimizer,SAS Programmer (https://www.notion.so/SAS-Programmer-2753dedf9856814abae6f2f241ebda4b?pvs=21),RESP-163
Support SAS Users,Support other SAS users,UC-165: SAS support,SAS Programmer (https://www.notion.so/SAS-Programmer-2753dedf9856814abae6f2f241ebda4b?pvs=21),RESP-165
Validate SAS Programs,Validate SAS programs,UC-164: SAS validator,SAS Programmer (https://www.notion.so/SAS-Programmer-2753dedf9856814abae6f2f241ebda4b?pvs=21),RESP-164
Lead Regulatory Strategy,Lead global regulatory strategy,UC-166: Strategy platform,VP Regulatory Affairs (https://www.notion.so/VP-Regulatory-Affairs-2753dedf985681aeb492cbdc6a39e9f9?pvs=21),RESP-166
Interface with Agencies,Interface with regulatory agencies,UC-167: Agency tracker,VP Regulatory Affairs (https://www.notion.so/VP-Regulatory-Affairs-2753dedf985681aeb492cbdc6a39e9f9?pvs=21),RESP-167
Oversee Submissions,Oversee regulatory submissions,UC-168: Submission manager,VP Regulatory Affairs (https://www.notion.so/VP-Regulatory-Affairs-2753dedf985681aeb492cbdc6a39e9f9?pvs=21),RESP-168
Build Agency Relations,Build relationships with regulators,UC-170: Relationship manager,VP Regulatory Affairs (https://www.notion.so/VP-Regulatory-Affairs-2753dedf985681aeb492cbdc6a39e9f9?pvs=21),RESP-170
Manage Regulatory Risk,Manage regulatory risks,UC-169: Risk assessment,VP Regulatory Affairs (https://www.notion.so/VP-Regulatory-Affairs-2753dedf985681aeb492cbdc6a39e9f9?pvs=21),RESP-169
Assess Regulatory Requirements,Assess global regulatory requirements,UC-172: Requirements database,Regulatory Strategy Director (https://www.notion.so/Regulatory-Strategy-Director-2753dedf98568112893bdb1845f27c44?pvs=21),RESP-172
Develop Regulatory Plans,Develop regulatory strategies,UC-171: Regulatory planner,Regulatory Strategy Director (https://www.notion.so/Regulatory-Strategy-Director-2753dedf98568112893bdb1845f27c44?pvs=21),RESP-171
Plan Regulatory Meetings,Plan regulatory agency meetings,UC-173: Meeting planner,Regulatory Strategy Director (https://www.notion.so/Regulatory-Strategy-Director-2753dedf98568112893bdb1845f27c44?pvs=21),RESP-173
Review Regulatory Intelligence,Review regulatory intelligence,UC-174: Intelligence platform,Regulatory Strategy Director (https://www.notion.so/Regulatory-Strategy-Director-2753dedf98568112893bdb1845f27c44?pvs=21),RESP-174
Manage Submissions,Manage regulatory submissions,UC-176: Submission tracker,Regulatory Affairs Manager (https://www.notion.so/Regulatory-Affairs-Manager-2753dedf985681c99b62cd4cdf00e4d1?pvs=21),RESP-176
Guide Submission Strategy,Guide submission strategies,UC-175: Strategy guide,Regulatory Strategy Director (https://www.notion.so/Regulatory-Strategy-Director-2753dedf98568112893bdb1845f27c44?pvs=21),RESP-175
Compile Submission Documents,Compile submission dossiers,UC-177: Dossier compiler,Regulatory Affairs Manager (https://www.notion.so/Regulatory-Affairs-Manager-2753dedf985681c99b62cd4cdf00e4d1?pvs=21),RESP-177
Track Regulatory Commitments,Track regulatory commitments,UC-178: Commitment tracker,Regulatory Affairs Manager (https://www.notion.so/Regulatory-Affairs-Manager-2753dedf985681c99b62cd4cdf00e4d1?pvs=21),RESP-178
Coordinate Responses,Coordinate responses to agencies,UC-179: Response coordinator,Regulatory Affairs Manager (https://www.notion.so/Regulatory-Affairs-Manager-2753dedf985681c99b62cd4cdf00e4d1?pvs=21),RESP-179
Write Regulatory Documents,Author regulatory documents,UC-181: Document templates,Regulatory Writer (https://www.notion.so/Regulatory-Writer-2753dedf98568133ad7ff06a03e8ff37?pvs=21),RESP-181
Maintain Regulatory Files,Maintain regulatory documentation,UC-180: File manager,Regulatory Affairs Manager (https://www.notion.so/Regulatory-Affairs-Manager-2753dedf985681c99b62cd4cdf00e4d1?pvs=21),RESP-180
Create Module 2 Documents,Create CTD Module 2 documents,UC-183: Module 2 builder,Regulatory Writer (https://www.notion.so/Regulatory-Writer-2753dedf98568133ad7ff06a03e8ff37?pvs=21),RESP-183
Develop Clinical Summaries,Write clinical summaries,UC-182: Summary generator,Regulatory Writer (https://www.notion.so/Regulatory-Writer-2753dedf98568133ad7ff06a03e8ff37?pvs=21),RESP-182
Ensure Document Quality,Ensure document quality and compliance,UC-185: Quality checker,Regulatory Writer (https://www.notion.so/Regulatory-Writer-2753dedf98568133ad7ff06a03e8ff37?pvs=21),RESP-185
Write Responses to Agencies,Write responses to agency questions,UC-184: Response writer,Regulatory Writer (https://www.notion.so/Regulatory-Writer-2753dedf98568133ad7ff06a03e8ff37?pvs=21),RESP-184
Lead CMC Regulatory,Lead CMC regulatory strategy,UC-186: CMC strategy,CMC Regulatory Head (https://www.notion.so/CMC-Regulatory-Head-2753dedf98568133a478c265f95a9251?pvs=21),RESP-186
Review CMC Data,Review CMC data packages,UC-187: CMC reviewer,CMC Regulatory Head (https://www.notion.so/CMC-Regulatory-Head-2753dedf98568133a478c265f95a9251?pvs=21),RESP-187
Interface with Manufacturing,Interface with manufacturing teams,UC-188: Manufacturing liaison,CMC Regulatory Head (https://www.notion.so/CMC-Regulatory-Head-2753dedf98568133a478c265f95a9251?pvs=21),RESP-188
Guide CMC Submissions,Guide CMC submission content,UC-190: CMC guidance,CMC Regulatory Head (https://www.notion.so/CMC-Regulatory-Head-2753dedf98568133a478c265f95a9251?pvs=21),RESP-190
Assess CMC Changes,Assess regulatory impact of CMC changes,UC-189: Change assessment,CMC Regulatory Head (https://www.notion.so/CMC-Regulatory-Head-2753dedf98568133a478c265f95a9251?pvs=21),RESP-189
Manage CMC Submissions,Manage CMC regulatory submissions,UC-191: CMC submission manager,CMC Regulatory Manager (https://www.notion.so/CMC-Regulatory-Manager-2753dedf985681ecbf3bdf9be0c0f515?pvs=21),RESP-191
Compile CMC Dossiers,Compile CMC dossier sections,UC-192: CMC compiler,CMC Regulatory Manager (https://www.notion.so/CMC-Regulatory-Manager-2753dedf985681ecbf3bdf9be0c0f515?pvs=21),RESP-192
Review Manufacturing Changes,Review manufacturing change controls,UC-193: Change reviewer,CMC Regulatory Manager (https://www.notion.so/CMC-Regulatory-Manager-2753dedf985681ecbf3bdf9be0c0f515?pvs=21),RESP-193
Coordinate Stability Data,Coordinate stability data submissions,UC-194: Stability coordinator,CMC Regulatory Manager (https://www.notion.so/CMC-Regulatory-Manager-2753dedf985681ecbf3bdf9be0c0f515?pvs=21),RESP-194
Track CMC Commitments,Track CMC regulatory commitments,UC-195: CMC tracker,CMC Regulatory Manager (https://www.notion.so/CMC-Regulatory-Manager-2753dedf985681ecbf3bdf9be0c0f515?pvs=21),RESP-195
Write Technical Documents,Write technical regulatory documents,UC-196: Technical writer,Technical Writer (https://www.notion.so/Technical-Writer-2753dedf985681c18eabd03d41d33ef2?pvs=21),RESP-196
Develop Process Descriptions,Develop manufacturing process descriptions,UC-197: Process documenter,Technical Writer (https://www.notion.so/Technical-Writer-2753dedf985681c18eabd03d41d33ef2?pvs=21),RESP-197
Create Specifications,Document product specifications,UC-198: Spec writer,Technical Writer (https://www.notion.so/Technical-Writer-2753dedf985681c18eabd03d41d33ef2?pvs=21),RESP-198
Write Validation Reports,Write validation summary reports,UC-199: Validation reporter,Technical Writer (https://www.notion.so/Technical-Writer-2753dedf985681c18eabd03d41d33ef2?pvs=21),RESP-199
Document Analytical Methods,Document analytical methods,UC-200: Method documentation,Technical Writer (https://www.notion.so/Technical-Writer-2753dedf985681c18eabd03d41d33ef2?pvs=21),RESP-200
